X,Y,Z
-3.237152,2.039383,0
-3.3475952,1.9981384,0
-3.4891052,1.9426117,0
-3.6089478,1.8786316,0
-3.6894379,1.8382721,0
-3.6641693,1.8493958,0
-3.6223297,1.9338837,0
-3.546753,2.096161,0
-3.4355774,2.3521576,0
-3.3913116,2.372589,0
-3.4382782,2.2853851,0
-3.4578552,2.2806091,0
-3.3836212,2.4383545,0
-3.2906342,2.6557312,0
-3.239853,2.845398,0
-3.2397919,2.9328156,0
-3.342392,2.8891602,0
-3.560379,2.6786346,0
-3.917511,2.3837433,0
-4.1867065,2.0379944,0
-4.3672028,1.7278595,0
-4.4680634,1.5112,0
-4.4972534,1.420105,0
-4.5158386,1.4586029,0
-4.5228424,1.6162872,0
-4.495178,1.8650513,0
-4.4188538,2.1603546,0
-4.3960114,2.4329224,0
-4.407242,2.6496124,0
-4.409897,2.8355255,0
-4.3592224,3.0016327,0
-4.2457733,3.0877533,0
-4.1110687,3.1066437,0
-4.0014954,3.0779877,0
-3.91362,3.0736847,0
-3.8206482,3.0947113,0
-3.7300568,3.1566925,0
-3.621399,3.2202148,0
-3.5406952,3.282364,0
-3.4747467,3.315979,0
-3.4162292,3.2767487,0
-3.354782,3.1580658,0
-3.2949677,2.9743042,0
-3.2986603,2.723755,0
-3.3212738,2.4326324,0
-3.3491974,2.1534576,0
-3.381897,1.9288177,0
-3.3911743,1.7961731,0
-3.395172,1.7731018,0
-3.372467,1.884201,0
-3.3058472,2.0559998,0
-3.2232513,2.290985,0
-3.1301575,2.5359344,0
-3.0232391,2.803238,0
-2.934433,3.069687,0
-2.8510895,3.3466187,0
-2.78331,3.5825195,0
-2.7511444,3.7368622,0
-2.741562,3.8390198,0
-2.7677917,3.8309479,0
-2.8777008,3.6634827,0
-2.9562073,3.4465027,0
-3.0118408,3.2683868,0
-3.0345306,3.1496582,0
-2.9990234,3.1095886,0
-2.9575348,3.114212,0
-2.963211,3.1234436,0
-3.015396,3.0718842,0
-3.046875,2.965149,0
-3.0503998,2.8406677,0
-3.0582733,2.714981,0
-3.0811462,2.628067,0
-3.1271057,2.5539856,0
-3.1571503,2.4938812,0
